duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,model
6.198968,45.060425,38.906006,0.089478,4.653992,500b,resnet152
1.091338,6.828857,5.846191,0.009216,0.838928,500b,resnet152
1.111625,6.957825,5.961975,0.008057,0.847534,500b,resnet152
1.049600,6.630981,5.664795,0.008789,0.822144,500b,resnet152
1.069386,6.464294,5.578613,0.005249,0.811951,500b,resnet152
0.989269,6.253723,5.471924,0.005249,0.749573,500b,resnet152
1.191927,6.705200,5.728088,0.008728,0.898010,500b,resnet152
1.010916,6.438049,5.576050,0.010010,0.789673,500b,resnet152
1.074917,6.628357,5.722290,0.008118,0.834839,500b,resnet152
1.098152,7.284119,6.148315,0.008545,0.883423,500b,resnet152
1.199305,6.832764,5.806519,0.010986,0.897949,500b,resnet152
1.083194,6.546570,5.643250,0.007141,0.831787,500b,resnet152
1.767310,8.039978,6.602600,0.009155,1.226501,500b,resnet152
1.071455,6.976074,5.972961,0.008606,0.877686,500b,resnet152
0.975640,6.587830,5.667358,0.012817,0.783936,500b,resnet152
1.118626,7.163025,6.163147,0.008240,0.870911,500b,resnet152
1.034797,6.394409,5.540833,0.004639,0.791016,500b,resnet152
1.103015,6.549744,5.632751,0.010559,0.844543,500b,resnet152
1.104688,6.633057,5.821350,0.010559,0.819763,500b,resnet152
1.108252,6.650330,5.709839,0.008362,0.846375,500b,resnet152
1.073029,6.643372,5.684631,0.009827,0.831421,500b,resnet152
1.076490,6.534668,5.609619,0.008606,0.825745,500b,resnet152
1.127056,6.666504,5.722961,0.009460,0.852539,500b,resnet152
1.055441,6.877319,5.991455,0.007385,0.806396,500b,resnet152
1.088202,6.556213,5.563110,0.004700,0.833374,500b,resnet152
1.196414,6.728210,5.747070,0.007568,0.898376,500b,resnet152
1.094527,6.663879,5.688049,0.010010,0.837341,500b,resnet152
1.090015,6.622070,5.669006,0.014465,0.842163,500b,resnet152
1.137530,6.871887,5.889160,0.007507,0.864868,500b,resnet152
1.077987,6.678162,5.755127,0.008728,0.824890,500b,resnet152
1.074226,6.991638,6.019958,0.003784,0.812195,500b,resnet152
1.212057,7.242981,6.275452,0.003784,0.889221,500b,resnet152
0.962592,6.489441,5.611267,0.008118,0.763184,500b,resnet152
0.989965,6.491394,5.614075,0.010254,0.781921,500b,resnet152
1.095505,6.577759,5.669678,0.008606,0.830139,500b,resnet152
1.083302,6.558960,5.621399,0.004456,0.820374,500b,resnet152
1.093024,6.853455,5.876587,0.011230,0.869568,500b,resnet152
1.095978,6.698242,5.743958,0.009521,0.844971,500b,resnet152
0.996544,6.458069,5.580261,0.009583,0.784424,500b,resnet152
1.214450,7.437134,6.363770,0.007385,0.925598,500b,resnet152
1.071350,6.578918,5.661194,0.006165,0.809631,500b,resnet152
1.090131,6.734741,5.757996,0.008057,0.839111,500b,resnet152
1.092390,6.617310,5.668579,0.009460,0.831238,500b,resnet152
0.994221,6.453491,5.598755,0.009766,0.775574,500b,resnet152
1.088767,6.398804,5.577637,0.009766,0.805786,500b,resnet152
0.962710,6.510315,5.607666,0.007568,0.764343,500b,resnet152
1.020214,6.473083,5.575684,0.007874,0.800720,500b,resnet152
0.996840,6.688232,5.845581,0.005493,0.774963,500b,resnet152
0.875214,6.267578,5.426147,0.009277,0.708374,500b,resnet152
1.198777,6.858887,5.820251,0.007690,0.902832,500b,resnet152
0.987903,6.406860,5.575073,0.006409,0.764526,500b,resnet152
1.091650,6.500061,5.570984,0.006226,0.833435,500b,resnet152
1.197913,6.753113,5.751709,0.008423,0.898865,500b,resnet152
1.091218,6.635986,5.682617,0.010864,0.841919,500b,resnet152
1.117611,6.731079,5.697510,0.009827,0.844482,500b,resnet152
1.092149,7.340637,6.330200,0.008850,0.871033,500b,resnet152
1.072308,6.553772,5.662354,0.010071,0.824036,500b,resnet152
0.982931,6.163391,5.433228,0.010071,0.748657,500b,resnet152
1.114465,6.771057,5.787659,0.008423,0.863770,500b,resnet152
1.272804,7.073059,5.932129,0.009583,0.944946,500b,resnet152
1.206571,6.796570,5.731750,0.009155,0.907776,500b,resnet152
1.183046,6.824524,5.828796,0.009399,0.901245,500b,resnet152
1.094544,6.707275,5.720520,0.008423,0.839722,500b,resnet152
1.091229,7.025024,6.059204,0.008850,0.847534,500b,resnet152
1.192885,6.780945,5.737732,0.008728,0.895264,500b,resnet152
1.098049,6.683716,5.734497,0.007446,0.840759,500b,resnet152
0.983760,6.510376,5.650757,0.010254,0.778198,500b,resnet152
1.093254,6.633789,5.698730,0.009705,0.841248,500b,resnet152
1.092757,6.535095,5.603516,0.007324,0.838440,500b,resnet152
1.195703,6.746826,5.761414,0.009583,0.901855,500b,resnet152
1.092179,6.387451,5.561768,0.009583,0.808533,500b,resnet152
1.093307,7.071655,6.064575,0.013489,0.858154,500b,resnet152
1.191747,6.713135,5.738708,0.009521,0.892212,500b,resnet152
1.092328,6.540283,5.621765,0.009521,0.840759,500b,resnet152
1.105005,6.608459,5.663635,0.009033,0.848267,500b,resnet152
1.128188,6.885559,5.865173,0.009460,0.849915,500b,resnet152
1.072027,6.622314,5.723633,0.008850,0.821533,500b,resnet152
0.860327,6.180359,5.381714,0.004211,0.695435,500b,resnet152
0.990167,6.310852,5.463135,0.009155,0.772949,500b,resnet152
1.015468,6.852112,5.917786,0.005981,0.790466,500b,resnet152
1.223430,7.028687,5.970886,0.009949,0.916321,500b,resnet152
1.030573,6.476013,5.573059,0.008606,0.803345,500b,resnet152
0.993177,6.395508,5.530945,0.008850,0.778015,500b,resnet152
0.998253,6.363770,5.581055,0.008850,0.761963,500b,resnet152
1.081055,6.596436,5.630066,0.008789,0.833069,500b,resnet152
1.096558,6.560791,5.618225,0.008606,0.838806,500b,resnet152
0.993226,6.479248,5.604919,0.008911,0.785706,500b,resnet152
1.092975,6.755127,5.799133,0.008667,0.835754,500b,resnet152
0.992773,6.363464,5.512512,0.004089,0.772522,500b,resnet152
1.081884,6.671082,5.677368,0.009705,0.837769,500b,resnet152
1.200762,7.245789,6.186157,0.010193,0.946594,500b,resnet152
0.993544,6.405029,5.545898,0.008179,0.776184,500b,resnet152
1.194593,6.841003,5.835510,0.007812,0.897400,500b,resnet152
1.089909,6.514465,5.610107,0.004883,0.819092,500b,resnet152
1.090839,6.554810,5.610229,0.009338,0.843933,500b,resnet152
1.093244,6.558105,5.645447,0.008911,0.833923,500b,resnet152
1.194940,6.609802,5.727173,0.008911,0.869019,500b,resnet152
1.095108,6.636780,5.699402,0.007324,0.851624,500b,resnet152
1.191184,6.712219,5.725281,0.010193,0.891479,500b,resnet152
1.088351,6.600525,5.644409,0.009949,0.836792,500b,resnet152
5.294702,31.349243,26.302063,0.078064,3.730164,500b,resnet34
0.888437,3.690063,2.927673,0.008362,0.605591,500b,resnet34
1.079953,3.916504,3.071289,0.009155,0.718323,500b,resnet34
0.887276,3.495789,2.784302,0.004517,0.593079,500b,resnet34
0.990467,3.642761,2.868286,0.009949,0.661438,500b,resnet34
0.889444,3.543152,2.837341,0.008179,0.607544,500b,resnet34
0.995697,3.743835,2.981689,0.009460,0.665588,500b,resnet34
0.891097,3.452820,2.798401,0.004089,0.591187,500b,resnet34
0.989145,3.617188,2.851501,0.009155,0.657837,500b,resnet34
0.991468,3.659851,2.897644,0.009033,0.663879,500b,resnet34
0.990048,3.542053,2.845093,0.003418,0.650696,500b,resnet34
0.888138,3.528076,2.795776,0.010681,0.609497,500b,resnet34
0.990356,3.344666,2.737122,0.010681,0.634033,500b,resnet34
0.906182,4.034363,3.271423,0.008545,0.617004,500b,resnet34
0.985987,3.764465,2.999023,0.007568,0.658325,500b,resnet34
0.869706,3.403076,2.752869,0.004272,0.579590,500b,resnet34
0.991171,3.840820,3.075500,0.009827,0.692139,500b,resnet34
0.886321,3.382935,2.724976,0.005371,0.581726,500b,resnet34
0.889550,3.475891,2.800842,0.008484,0.603027,500b,resnet34
0.885620,3.536316,2.841675,0.008362,0.597656,500b,resnet34
1.012101,3.809814,2.989075,0.009583,0.670471,500b,resnet34
0.988948,4.080139,3.327576,0.003723,0.651733,500b,resnet34
0.985388,3.745422,2.946716,0.009338,0.658508,500b,resnet34
0.995676,3.763855,2.953064,0.008850,0.666443,500b,resnet34
0.989967,3.574524,2.863037,0.004089,0.647217,500b,resnet34
0.984878,3.663635,2.953552,0.004211,0.642395,500b,resnet34
0.870777,3.456055,2.748840,0.007812,0.591248,500b,resnet34
0.890107,3.379028,2.740051,0.003967,0.592468,500b,resnet34
0.987101,3.594238,2.817627,0.008667,0.668396,500b,resnet34
0.990980,3.586548,2.838379,0.009094,0.667358,500b,resnet34
0.881301,3.265381,2.606201,0.004272,0.584595,500b,resnet34
0.999557,3.765381,2.988220,0.008850,0.672546,500b,resnet34
0.991450,3.592957,2.891235,0.005432,0.654785,500b,resnet34
0.887057,3.455750,2.766357,0.008484,0.598877,500b,resnet34
0.993661,3.667664,2.950684,0.006775,0.661865,500b,resnet34
0.881359,3.374512,2.685303,0.005127,0.585388,500b,resnet34
0.990228,3.602844,2.855164,0.008606,0.661072,500b,resnet34
0.990202,3.606384,2.854004,0.003174,0.648987,500b,resnet34
0.919963,3.627869,2.947632,0.004944,0.635986,500b,resnet34
0.958819,3.634399,2.858337,0.008362,0.650574,500b,resnet34
1.090940,3.796692,2.983765,0.010071,0.719299,500b,resnet34
0.909763,3.509949,2.843567,0.005005,0.599731,500b,resnet34
0.989768,3.789124,3.015808,0.008057,0.657410,500b,resnet34
0.991197,3.735046,2.966125,0.009277,0.660400,500b,resnet34
0.983428,3.722839,2.951233,0.003601,0.646301,500b,resnet34
1.077159,3.812073,2.976074,0.009705,0.713013,500b,resnet34
0.891731,3.876892,3.180359,0.008850,0.612183,500b,resnet34
1.214067,4.185303,3.262512,0.007874,0.798279,500b,resnet34
0.987155,3.671021,2.928589,0.005249,0.646545,500b,resnet34
0.989949,3.749451,2.934021,0.009705,0.669067,500b,resnet34
0.887417,3.499756,2.853333,0.005859,0.591064,500b,resnet34
0.968557,3.475586,2.791016,0.005859,0.627441,500b,resnet34
0.886518,3.467407,2.774902,0.007874,0.608032,500b,resnet34
0.995803,3.843567,3.068970,0.008179,0.681213,500b,resnet34
0.881103,3.441772,2.787415,0.003845,0.586487,500b,resnet34
0.990538,3.658630,2.889771,0.009338,0.666626,500b,resnet34
0.886823,3.464417,2.813660,0.003845,0.596191,500b,resnet34
0.990462,3.608276,2.829956,0.009155,0.663086,500b,resnet34
0.895632,3.651062,2.994507,0.005310,0.607117,500b,resnet34
1.000864,3.663818,2.907532,0.009094,0.671570,500b,resnet34
1.037158,4.045715,3.240540,0.007690,0.719055,500b,resnet34
0.928202,3.602356,2.910339,0.005615,0.624023,500b,resnet34
0.888099,3.445740,2.732361,0.009644,0.603455,500b,resnet34
0.993650,3.731873,3.002563,0.003540,0.656494,500b,resnet34
0.887838,3.483276,2.861450,0.004578,0.602417,500b,resnet34
0.988566,3.677795,2.926331,0.007812,0.665161,500b,resnet34
0.988915,3.713135,2.891479,0.011169,0.662842,500b,resnet34
1.060151,4.082947,3.273071,0.009521,0.706360,500b,resnet34
0.919312,3.739258,3.016663,0.004578,0.629028,500b,resnet34
0.996430,3.693787,2.942627,0.009521,0.666382,500b,resnet34
0.889671,3.450928,2.774170,0.005615,0.595703,500b,resnet34
0.911592,3.616455,2.885315,0.009155,0.610474,500b,resnet34
0.971851,3.653137,2.941101,0.005432,0.647522,500b,resnet34
0.983880,3.549438,2.798767,0.007690,0.655273,500b,resnet34
1.706588,5.045532,3.770203,0.015259,1.087341,500b,resnet34
2.016539,5.822998,4.330505,0.016846,1.274414,500b,resnet34
0.921635,3.730530,2.985962,0.010193,0.622009,500b,resnet34
0.984512,3.641663,2.959167,0.010193,0.631836,500b,resnet34
0.967932,3.557373,2.810730,0.009705,0.647766,500b,resnet34
0.895079,3.526062,2.841675,0.009033,0.606873,500b,resnet34
0.996615,3.622498,2.886169,0.003540,0.657288,500b,resnet34
1.000020,3.879395,3.056274,0.008972,0.671631,500b,resnet34
0.990159,3.682495,2.955688,0.006348,0.648438,500b,resnet34
