class,compute_time,idx,image,model,image_time,model_size,model_time,prob
drum,0.524383,541,15Mb,resnet18,6.817868,46835260,0.220794,0.5142418742179871
drum,0.497406,541,15Mb,resnet18,6.488617,46835260,0.0,0.5142418742179871
drum,0.494864,541,15Mb,resnet18,5.691257,46835260,0.0,0.5142418742179871
drum,0.507589,541,15Mb,resnet18,7.115847,46835260,0.0,0.5142418742179871
drum,0.508601,541,15Mb,resnet18,6.052199,46835260,0.0,0.5142418742179871
drum,0.497852,541,15Mb,resnet18,6.590701,46835260,0.0,0.5142418742179871
drum,0.512163,541,15Mb,resnet18,7.817526,46835260,0.0,0.5142418742179871
drum,0.49636,541,15Mb,resnet18,6.937459,46835260,0.0,0.5142418742179871
drum,0.497607,541,15Mb,resnet18,6.619775,46835260,0.0,0.5142418742179871
drum,0.500051,541,15Mb,resnet18,6.44098,46835260,0.0,0.5142418742179871
drum,0.50303,541,15Mb,resnet18,6.645242,46835260,0.0,0.5142418742179871
drum,0.50039,541,15Mb,resnet18,6.648366,46835260,0.0,0.5142418742179871
drum,0.512868,541,15Mb,resnet18,7.223299,46835260,0.0,0.5142418742179871
drum,0.501831,541,15Mb,resnet18,8.542762,46835260,0.0,0.5142418742179871
drum,0.508233,541,15Mb,resnet18,8.49681,46835260,0.0,0.5142418742179871
drum,0.511643,541,15Mb,resnet18,7.654916,46835260,0.0,0.5142418742179871
drum,0.499853,541,15Mb,resnet18,8.624242,46835260,0.0,0.5142418742179871
drum,0.503747,541,15Mb,resnet18,7.394837,46835260,0.0,0.5142418742179871
drum,0.512952,541,15Mb,resnet18,7.748393,46835260,0.0,0.5142418742179871
drum,0.510502,541,15Mb,resnet18,7.55029,46835260,0.0,0.5142418742179871
drum,0.50012,541,15Mb,resnet18,7.529355,46835260,0.0,0.5142418742179871
drum,0.509531,541,15Mb,resnet18,7.03801,46835260,0.0,0.5142418742179871
drum,0.499319,541,15Mb,resnet18,7.353497,46835260,0.0,0.5142418742179871
drum,0.499524,541,15Mb,resnet18,7.10747,46835260,0.0,0.5142418742179871
drum,0.507732,541,15Mb,resnet18,8.971893,46835260,0.0,0.5142418742179871
drum,0.506727,541,15Mb,resnet18,6.412948,46835260,0.0,0.5142418742179871
drum,0.497314,541,15Mb,resnet18,7.706274,46835260,0.0,0.5142418742179871
drum,0.509026,541,15Mb,resnet18,7.146928,46835260,0.0,0.5142418742179871
drum,0.503614,541,15Mb,resnet18,6.62451,46835260,0.0,0.5142418742179871
drum,0.495974,541,15Mb,resnet18,6.701157,46835260,0.0,0.5142418742179871
drum,0.516137,541,15Mb,resnet18,6.7276,46835260,0.0,0.5142418742179871
drum,0.509517,541,15Mb,resnet18,8.831554,46835260,0.0,0.5142418742179871
drum,0.498744,541,15Mb,resnet18,8.22822,46835260,0.0,0.5142418742179871
drum,0.499519,541,15Mb,resnet18,7.16538,46835260,0.0,0.5142418742179871
drum,0.514116,541,15Mb,resnet18,6.8011,46835260,0.0,0.5142418742179871
drum,0.51607,541,15Mb,resnet18,6.743305,46835260,0.0,0.5142418742179871
drum,0.513224,541,15Mb,resnet18,7.380078,46835260,0.0,0.5142418742179871
drum,0.515635,541,15Mb,resnet18,6.642799,46835260,0.0,0.5142418742179871
drum,0.505243,541,15Mb,resnet18,7.714829,46835260,0.0,0.5142418742179871
drum,0.507935,541,15Mb,resnet18,6.947579,46835260,0.0,0.5142418742179871
drum,0.504083,541,15Mb,resnet18,6.51863,46835260,0.0,0.5142418742179871
drum,0.498574,541,15Mb,resnet18,6.902065,46835260,0.0,0.5142418742179871
drum,0.501242,541,15Mb,resnet18,7.767611,46835260,0.0,0.5142418742179871
drum,0.510334,541,15Mb,resnet18,6.722071,46835260,0.0,0.5142418742179871
drum,0.494568,541,15Mb,resnet18,6.172248,46835260,0.0,0.5142418742179871
drum,0.499988,541,15Mb,resnet18,7.472393,46835260,0.0,0.5142418742179871
drum,0.509049,541,15Mb,resnet18,5.778314,46835260,0.0,0.5142418742179871
drum,0.51497,541,15Mb,resnet18,7.36627,46835260,0.0,0.5142418742179871
drum,0.511504,541,15Mb,resnet18,8.548923,46835260,0.0,0.5142418742179871
drum,0.501096,541,15Mb,resnet18,6.588371,46835260,0.0,0.5142418742179871
drum,0.501235,541,15Mb,resnet18,6.056216,46835260,0.0,0.5142418742179871
drum,0.499819,541,15Mb,resnet18,9.165727,46835260,0.0,0.5142418742179871
drum,0.498052,541,15Mb,resnet18,9.383266,46835260,0.0,0.5142418742179871
